session_id,timestamp,archetype,intervention_id,rmssd,pv,gaze_stability,pose_adherence
91,0,Insulated,mobilizing_04,80.18072821332618,1.1271563891468808,0.8350033524531474,0.7709725602190651
91,3,Insulated,mobilizing_04,81.74792237734778,1.6180313846995724,0.8899868770775328,0.9682959175574465
91,6,Insulated,mobilizing_04,80.60056358228424,2.404575951003098,0.9696856803413779,0.9475330767885878
91,9,Insulated,mobilizing_04,80.27689354944233,2.677225470607366,0.8804245993671078,0.9314736730955842
91,12,Insulated,mobilizing_04,78.99711123784748,2.999285500310328,0.9189237481687349,0.7797175382499758
91,15,Insulated,mobilizing_04,79.42813987735104,3.3436528559959386,0.9543548677953614,0.9949917598092499
91,18,Insulated,mobilizing_04,79.11061799534009,3.9961173743269116,0.9069618373786638,0.7735658121778184
91,21,Insulated,mobilizing_04,80.24425159273424,4.690640146299973,0.9693273093229756,0.8785149517616546
91,24,Insulated,mobilizing_04,79.34181699494933,5.0,0.8478721928755033,0.7827258645861555
91,27,Insulated,mobilizing_04,80.15158127071086,5.0,0.8675148409836337,0.9484184295291541
91,30,Insulated,mobilizing_04,78.42323899812139,5.0,0.96897776950394,0.8901306236560949
91,33,Insulated,mobilizing_04,79.91349306340398,5.0,0.8233656337220944,0.7870654583061115
91,36,Insulated,mobilizing_04,79.45328563061467,5.0,0.9718450011549908,0.7241709210836085
91,39,Insulated,mobilizing_04,80.16040943063169,5.0,0.8427876868849197,0.724652200592736
91,42,Insulated,mobilizing_04,78.14696096727248,5.0,0.8437889633849551,0.9724341430484436
91,45,Insulated,mobilizing_04,78.95965832502603,5.0,0.8984286595394573,0.9109008516230266
91,48,Insulated,mobilizing_04,77.55001726057672,4.979649904726449,0.9098244524015059,0.7938240231096833
91,51,Insulated,mobilizing_04,78.15920759299605,5.0,0.9787599754010159,0.8813326918298628
91,54,Insulated,restorative_06,79.62806986847897,5.0,0.9259226248229757,0.7484434037741986
